
College_Name,State
Government Polytechnic,Goa
North Eastern Regional Institute of Science and Technology,Arunachal pradesh
National Institute of Technology,Arunachal pradesh
"Arunodaya University, Itanagar ",Arunachal pradesh
Himalayan University,Arunachal pradesh
Apex Professional University,Arunachal pradesh
Rajiv Gandhi University,Arunachal pradesh
Arunachal University of Studies,Arunachal pradesh
North East Frontier Technical University,Arunachal pradesh
Venkateshwara Open University,Arunachal pradesh
"Tomi Polytechnic College, Basar ",Arunachal pradesh
"Government Polytechnic Laying, Itanagar ",Arunachal pradesh
"Government Polytechnic Roing, Roing ",Arunachal pradesh
Government Polytechnic,Arunachal pradesh
Rajiv Gandhi Government Polytechnic,Arunachal pradesh
"The Global University, Itanagar ",Arunachal pradesh
National Institute of Technology,Meghalaya
"CMJ University, Ri-Bhoi ",Meghalaya
North-Eastern Hill University,Meghalaya
William Carey University,Meghalaya
Mahatma Gandhi University,Meghalaya
"MIT University, Shillong ",Meghalaya
Regional Institute of Science and Technolog,Meghalaya
"Tura Polytechnic College, Tura ",Meghalaya
"Shillong Polytechnic, Mawlai ",Meghalaya
"Jowai Polytechnic, Jowai ",Meghalaya
National Institute of Technology,Nagaland
"St.Joseph University, Dimapur ",Nagaland
"Nagaland University, Zunhebotto ",Nagaland
The Global Open University,Nagaland
"Government Polytechnic, Kohima ",Nagaland
"Khelhoshe Polytechnic Atoizu[KPA], Kohima ",Nagaland
"Government Polytechnic Seithekema C, Dimapur ",Nagaland
Government Polytechnic Tsunazho,Nagaland
"Government Polytechnic Sedem, Tuensang ",Nagaland
"Institute of Communication and Information Technology, Kohima ",Nagaland
Pondicherry Engineering College,Puducherry
National Institute of Technology,Puducherry
Manakula Vinayagar Institute of Technology,Puducherry
"Sri Manakula Vinayagar Engineering College, Pondicherry ",Puducherry
"Rajiv Gandhi College of Engineering and Technology, Pondicherry ",Puducherry
"Christ College of Engineering and Technology, Pondicherry ",Puducherry
Perunthalaivar Kamarajar Institute of Engineering and Technology,Puducherry
Achariya College of Engineering Technology,Puducherry
"Regency Institute of Technology, Yanam ",Puducherry
Bharathiyar College of Engineering and Technology,Puducherry
"PSV College of Engineering and Technology, Pondicherry ",Puducherry
Christ Institute of Technology,Puducherry
R V S College of Engineering and Technology,Puducherry
"Alpha College of Engineering & Technology, Pondicherry ",Puducherry
Pondicherry University,Puducherry
"Sri Chakra Maritime College, Pondicherry ",Puducherry
"Motilal Nehru Government Polytechnic College, Pondicherry ",Puducherry
Karaikal Polytechnic College,Puducherry
Dr. B. R. Ambedkar Polytechnic College,Puducherry
Indira Gandhi Polytechnic College,Puducherry
"Sri Manakula Vinayagar Polytechnic College-[SMVPC], Pondicherry ",Puducherry
Women's Polytechnic College,Puducherry
National Institute of Technology,Tripura
"ICFAI University, West Tripura ",Tripura
Indian Institute of Information Technology,Tripura
"Tripura Institute of Technology, Agartala ",Tripura
Techno College of Engineering Agartala,Tripura
"Tripura University, West Tripura ",Tripura
"TTAADC Polytechnic Institute, West Tripura ",Tripura
Sikkim Manipal University,Sikkim
National Institute of Technology,Sikkim
"SRM University Sikkim, Gangtok ",Sikkim
Vinayaka Missions Sikkim University,Sikkim
College of Agricultural Engineering and Post Harvest Technology,Sikkim
National Institute of Technology,Manipur
Indian Institute of Information Technology,Manipur
Manipur Institute of Technology,Manipur
Manipur Technical University,Manipur
Central Agricultural University,Manipur
Manipur University,Manipur
"Government Polytechnic, Imphal ",Manipur
"Bir Tikendrajit University, Imphal ",Manipur
National Institute of Technology,Mizoram
"Mizoram University, School of Engineering and Technology ",Mizoram
"Mizoram Polytechnic, Lunglei ",Mizoram
Mizoram University,Mizoram
National Institute of Electronics & Information Technology,Mizoram
"Dr. B R Ambedkar Institute of Technology, Port Blair ",Andaman
"Plastindia International University, Dadra & Nagar Haveli ",Dadra
"Government Polytechnic, Daman ",Daman
